source_id	gene_set	gene_name	score
Groningen2017	MES	SVIL	
Groningen2017	MES	SYDE1	
Groningen2017	MES	SYNJ2	
Groningen2017	MES	SYPL1	
Groningen2017	MES	TCF7L2	
Groningen2017	MES	TFE3	
Groningen2017	MES	TFPI	
Groningen2017	MES	TGFB1I1	
Groningen2017	MES	TGFBR2	
Groningen2017	MES	THBS1	
Groningen2017	MES	TIMP1	
Groningen2017	MES	TJP1	
Groningen2017	MES	TM4SF1	
Groningen2017	MES	TM9SF2	
Groningen2017	MES	TMBIM4	
Groningen2017	MES	TMED9	
Groningen2017	MES	TMEFF2	
Groningen2017	MES	TMEM263	
Groningen2017	MES	TMEM50A	
Groningen2017	MES	TMEM87B	
Groningen2017	MES	TNC	
Groningen2017	MES	TNFRSF12A	
Groningen2017	MES	TNFRSF1A	
Groningen2017	MES	TNMD	
Groningen2017	MES	TNS1	
Groningen2017	MES	TOR1AIP1	
Groningen2017	MES	TPBG	
Groningen2017	MES	TPM1	
Groningen2017	MES	TPM2	
Groningen2017	MES	TRAM1	
Groningen2017	MES	TRAM2	
Groningen2017	MES	TRIL	
Groningen2017	MES	TRIM5	
Groningen2017	MES	TSC22D2	
Groningen2017	MES	TSC22D3	
Groningen2017	MES	TSPAN4	
Groningen2017	MES	TUBB6	
Groningen2017	MES	TWSG1	
Groningen2017	MES	TXNDC12	
Groningen2017	MES	UAP1	
Groningen2017	MES	UGDH	
Groningen2017	MES	VCL	
Groningen2017	MES	VIM	
Groningen2017	MES	WIPI1	
Groningen2017	MES	WLS	
Groningen2017	MES	WNT5A	
Groningen2017	MES	WWTR1	
Groningen2017	MES	YAP1	
Groningen2017	MES	ZCCHC24	
Groningen2017	MES	ZFP36L1	
Groningen2017	MES	ZNF217	
Groningen2017	ADRN	ABCA3	
Groningen2017	ADRN	ABCB1	
Groningen2017	ADRN	ABLIM1	
Groningen2017	ADRN	ACOT7	
Groningen2017	ADRN	ACTL6B	
Groningen2017	ADRN	ACVR1B	
Groningen2017	ADRN	ADAM22	
Groningen2017	ADRN	ADCYAP1R1	
Groningen2017	ADRN	ADGRB3	
Groningen2017	ADRN	ADRBK2	
Groningen2017	ADRN	AGTPBP1	
Groningen2017	ADRN	AHSA1	
Groningen2017	ADRN	AKAP1	
Groningen2017	ADRN	AKAP12	
Groningen2017	ADRN	ALK	
Groningen2017	ADRN	ANK2	
Groningen2017	ADRN	ANKRD46	
Groningen2017	ADRN	ANP32A	
Groningen2017	ADRN	AP1S2	
Groningen2017	ADRN	ARHGEF7	
Groningen2017	ADRN	ARL6IP1	
Groningen2017	ADRN	ASCL1	
Groningen2017	ADRN	ASRGL1	
Groningen2017	ADRN	ATCAY	
Groningen2017	ADRN	ATL1	
Groningen2017	ADRN	ATP6V0E2	
Groningen2017	ADRN	ATP6V1B2	
Groningen2017	ADRN	AUTS2	
Groningen2017	ADRN	BEND4	
Groningen2017	ADRN	BEX1	
Groningen2017	ADRN	BEX2	
Groningen2017	ADRN	BIRC5	
Groningen2017	ADRN	BMP7	
Groningen2017	ADRN	BMPR1B	
Groningen2017	ADRN	C11orf95	
Groningen2017	ADRN	C14orf132	
Groningen2017	ADRN	C3orf14	
Groningen2017	ADRN	C4orf48	
Groningen2017	ADRN	C7orf55	
Groningen2017	ADRN	CACNA1B	
Groningen2017	ADRN	CACNA2D2	
Groningen2017	ADRN	CADM1	
Groningen2017	ADRN	CAMSAP1	
Groningen2017	ADRN	CCDC167	
Groningen2017	ADRN	CCND1	
Groningen2017	ADRN	CCNI	
Groningen2017	ADRN	CCP110	
Groningen2017	ADRN	CCSAP	
Groningen2017	ADRN	CD200	
Groningen2017	ADRN	CDC42EP3	
Groningen2017	ADRN	CDCA5	
Groningen2017	ADRN	CDKN2C	
Groningen2017	ADRN	CDKN3	
Groningen2017	ADRN	CELF2	
Groningen2017	ADRN	CENPU	
Groningen2017	ADRN	CENPV	
Groningen2017	ADRN	CEP44	
Groningen2017	ADRN	CERK	
Groningen2017	ADRN	CETN3	
Groningen2017	ADRN	CHGA	
Groningen2017	ADRN	CHGB	
Groningen2017	ADRN	CHML	
Groningen2017	ADRN	CHRNA3	
Groningen2017	ADRN	CKB	
Groningen2017	ADRN	CLASP2	
Groningen2017	ADRN	CLGN	
Groningen2017	ADRN	CRH	
Groningen2017	ADRN	CRMP1	
Groningen2017	ADRN	CSE1L	
Groningen2017	ADRN	CXADR	
Groningen2017	ADRN	CXCR4	
Groningen2017	ADRN	CYFIP2	
Groningen2017	ADRN	CYGB	
Groningen2017	ADRN	DACH1	
Groningen2017	ADRN	DAPK1	
Groningen2017	ADRN	DBH	
Groningen2017	ADRN	DCX	
Groningen2017	ADRN	DDC	
Groningen2017	ADRN	DDX39A	
Groningen2017	ADRN	DIABLO	
Groningen2017	ADRN	DKK1	
Groningen2017	ADRN	DLK1	
Groningen2017	ADRN	DNAJB1	
Groningen2017	ADRN	DNAJC6	
Groningen2017	ADRN	DNAJC9	
Groningen2017	ADRN	DNER	
Groningen2017	ADRN	DPYSL2	
Groningen2017	ADRN	DPYSL3	
Groningen2017	ADRN	DPYSL5	
Groningen2017	ADRN	DTD1	
Groningen2017	ADRN	DUSP4	
Groningen2017	ADRN	EEF1A2	
Groningen2017	ADRN	EIF1B	
Groningen2017	ADRN	ELAVL2	
Groningen2017	ADRN	ELAVL3	
Groningen2017	ADRN	ELAVL4	
Groningen2017	ADRN	EML4	
Groningen2017	ADRN	EML6	
Groningen2017	ADRN	ENDOG	
Groningen2017	ADRN	ENO2	
Groningen2017	ADRN	EPB41L4A-AS1	
Groningen2017	ADRN	ESRRG	
Groningen2017	ADRN	EVL	
Groningen2017	ADRN	EXOC5	
Groningen2017	ADRN	EYA1	
Groningen2017	ADRN	FABP6	
Groningen2017	ADRN	FAM107B	
Groningen2017	ADRN	FAM155A	
Groningen2017	ADRN	FAM163A	
Groningen2017	ADRN	FAM167A	
Groningen2017	ADRN	FAM169A	
Groningen2017	ADRN	FAM171B	
Groningen2017	ADRN	FAM60A	
Groningen2017	ADRN	FAXC	
Groningen2017	ADRN	FBLL1	
Groningen2017	ADRN	FBXO8	
Groningen2017	ADRN	FEV	
Groningen2017	ADRN	FHOD3	
Groningen2017	ADRN	FIGNL1	
Groningen2017	ADRN	FKBP1B	
Groningen2017	ADRN	FKBP4	
Groningen2017	ADRN	FOXM1	
Groningen2017	ADRN	FOXO3	
Groningen2017	ADRN	FSD1	
Groningen2017	ADRN	FZD3	
Groningen2017	ADRN	GABRB3	
Groningen2017	ADRN	GAL	
Groningen2017	ADRN	GAP43	
Groningen2017	ADRN	GATA2	
Groningen2017	ADRN	GATA3	
Groningen2017	ADRN	GCH1	
Groningen2017	ADRN	GDAP1	
Groningen2017	ADRN	GDAP1L1	
Groningen2017	ADRN	GDI1	
Groningen2017	ADRN	GDPD1	
Groningen2017	ADRN	GGCT	
Groningen2017	ADRN	GGH	
Groningen2017	ADRN	GLCCI1	
Groningen2017	ADRN	GLDC	
Groningen2017	ADRN	GLRX	
Groningen2017	ADRN	GMNN	
Groningen2017	ADRN	GNB1	
Groningen2017	ADRN	GNG4	
Groningen2017	ADRN	GPR22	
Groningen2017	ADRN	GPR27	
Groningen2017	ADRN	GRB10	
Groningen2017	ADRN	GRIA2	
Groningen2017	ADRN	H1FX	
Groningen2017	ADRN	HAND1	
Groningen2017	ADRN	HAND2-AS1	
Groningen2017	ADRN	HES6	
Groningen2017	ADRN	HEY1	
Groningen2017	ADRN	HK2	
Groningen2017	ADRN	HMGA1	
Groningen2017	ADRN	HMP19	
Groningen2017	ADRN	HN1	
Groningen2017	ADRN	HNRNPA0	
Groningen2017	ADRN	HS6ST2	
Groningen2017	ADRN	ICA1	
Groningen2017	ADRN	IGFBPL1	
Groningen2017	ADRN	IGSF3	
Groningen2017	ADRN	INA	
Groningen2017	ADRN	INO80C	
Groningen2017	ADRN	INSM1	
Groningen2017	ADRN	INSM2	
Groningen2017	ADRN	IRS2	
Groningen2017	ADRN	ISL1	
Groningen2017	ADRN	KDM1A	
Groningen2017	ADRN	KIAA1211	
Groningen2017	ADRN	KIDINS220	
Groningen2017	ADRN	KIF15	
Groningen2017	ADRN	KIF1A	
Groningen2017	ADRN	KIF21A	
Groningen2017	ADRN	KIF2A	
Groningen2017	ADRN	KIF5C	
Groningen2017	ADRN	KLC1	
Groningen2017	ADRN	KLF13	
Groningen2017	ADRN	KLF7	
Groningen2017	ADRN	KLHL13	
Groningen2017	ADRN	KLHL23	
Groningen2017	ADRN	KNSTRN	
Groningen2017	ADRN	L1CAM	
Groningen2017	ADRN	LEPROTL1	
Groningen2017	ADRN	LIN28B	
Groningen2017	ADRN	LINC00888	
Groningen2017	ADRN	LMO3	
Groningen2017	ADRN	LOC100507194	
Groningen2017	ADRN	LOC101928409	
Groningen2017	ADRN	LRRTM2	
Groningen2017	ADRN	LSM3	
Groningen2017	ADRN	LSM4	
Groningen2017	ADRN	LYN	
Groningen2017	ADRN	MAGI3	
Groningen2017	ADRN	MANEAL	
Groningen2017	ADRN	MAP1B	
Groningen2017	ADRN	MAP2	
Groningen2017	ADRN	MAP6	
Groningen2017	ADRN	MAPK8	
Groningen2017	ADRN	MAPT	
Groningen2017	ADRN	MARCH11	
Groningen2017	ADRN	MCM2	
Groningen2017	ADRN	MCM6	
Groningen2017	ADRN	MCM7	
Groningen2017	ADRN	MIAT	
Groningen2017	ADRN	MMD	
Groningen2017	ADRN	MRPL48	
Groningen2017	ADRN	MSH6	
Groningen2017	ADRN	MSI2	
Groningen2017	ADRN	MTCL1	
Groningen2017	ADRN	MXI1	
Groningen2017	ADRN	MYBL2	
Groningen2017	ADRN	MYEF2	
Groningen2017	ADRN	MYO5A	
Groningen2017	ADRN	MYRIP	
Groningen2017	ADRN	NANOS1	
Groningen2017	ADRN	NAP1L5	
Groningen2017	ADRN	NAPB	
Groningen2017	ADRN	NARS2	
Groningen2017	ADRN	NBEA	
Groningen2017	ADRN	NCAM1	
Groningen2017	ADRN	NCAN	
Groningen2017	ADRN	NCOA7	
Groningen2017	ADRN	NCS1	
Groningen2017	ADRN	NEFL	
Groningen2017	ADRN	NEFM	
Groningen2017	ADRN	NELFCD	
Groningen2017	ADRN	NELL2	
Groningen2017	ADRN	NET1	
Groningen2017	ADRN	NFIL3	
Groningen2017	ADRN	NGRN	
Groningen2017	ADRN	NMNAT2	
Groningen2017	ADRN	NNAT	
Groningen2017	ADRN	NOL4	
Groningen2017	ADRN	NPTX2	
Groningen2017	ADRN	NPY	
Groningen2017	ADRN	NRCAM	
Groningen2017	ADRN	NRSN1	
Groningen2017	ADRN	NSG1	
Groningen2017	ADRN	NUDT11	
Groningen2017	ADRN	NUF2	
Groningen2017	ADRN	NUSAP1	
Groningen2017	ADRN	OLA1	
Groningen2017	ADRN	OLFM1	
Groningen2017	ADRN	PARP6	
Groningen2017	ADRN	PBK	
Groningen2017	ADRN	PBX3	
Groningen2017	ADRN	PDK1	
Groningen2017	ADRN	PEG3	
Groningen2017	ADRN	PHF21B	
Groningen2017	ADRN	PHOX2A	
Groningen2017	ADRN	PHOX2B	
Groningen2017	ADRN	PHPT1	
Groningen2017	ADRN	PHYHIPL	
Groningen2017	ADRN	PIK3R1	
Groningen2017	ADRN	PKIA	
Groningen2017	ADRN	PLPPR5	
Groningen2017	ADRN	PNMA2	
Groningen2017	ADRN	POLB	
Groningen2017	ADRN	POPDC3	
Groningen2017	ADRN	PPM1E	
Groningen2017	ADRN	PPP1R9A	
Groningen2017	ADRN	PPP2R3C	
Groningen2017	ADRN	PRC1	
Groningen2017	ADRN	PRCD	
Groningen2017	ADRN	PRIM1	
Groningen2017	ADRN	PRPH	
Groningen2017	ADRN	PRSS12	
Groningen2017	ADRN	PRSS3	
Groningen2017	ADRN	PTS	
Groningen2017	ADRN	QDPR	
Groningen2017	ADRN	RAB33A	
Groningen2017	ADRN	RAB6B	
Groningen2017	ADRN	RALGDS	
Groningen2017	ADRN	RANBP1	
Groningen2017	ADRN	RBBP8	
Groningen2017	ADRN	RBMS3	
Groningen2017	ADRN	RBP1	
Groningen2017	ADRN	REC8	
Groningen2017	ADRN	REEP1	
Groningen2017	ADRN	RET	
Groningen2017	ADRN	RFC4	
Groningen2017	ADRN	RGS17	
Groningen2017	ADRN	RGS5	
Groningen2017	ADRN	RIMBP2	
Groningen2017	ADRN	RIMS3	
Groningen2017	ADRN	RNF144A	
Groningen2017	ADRN	RNF150	
Groningen2017	ADRN	RNF157	
Groningen2017	ADRN	RNF165	
Groningen2017	ADRN	RNFT2	
Groningen2017	ADRN	RPS6KA2	
Groningen2017	ADRN	RRM2	
Groningen2017	ADRN	RTN1	
Groningen2017	ADRN	RTN2	
Groningen2017	ADRN	RUFY3	
Groningen2017	ADRN	RUNDC3A	
Groningen2017	ADRN	RUNDC3B	
Groningen2017	ADRN	SATB1	
Groningen2017	ADRN	SBK1	
Groningen2017	ADRN	SCAMP5	
Groningen2017	ADRN	SCG2	
Groningen2017	ADRN	SCG3	
Groningen2017	ADRN	SCN3A	
Groningen2017	ADRN	SEC11C	
Groningen2017	ADRN	SEPT3	
Groningen2017	ADRN	SEPT6	
Groningen2017	ADRN	SERP2	
Groningen2017	ADRN	SETD7	
Groningen2017	ADRN	SHC3	
Groningen2017	ADRN	SHD	
Groningen2017	ADRN	SIX3	
Groningen2017	ADRN	SLC10A4	
Groningen2017	ADRN	SLC35G2	
Groningen2017	ADRN	SLIT1	
Groningen2017	ADRN	SLIT3	
Groningen2017	ADRN	SNAP25	
Groningen2017	ADRN	SNAP91	
Groningen2017	ADRN	SOX11	
Groningen2017	ADRN	ST3GAL6	
Groningen2017	ADRN	STMN2	
Groningen2017	ADRN	STMN4	
Groningen2017	ADRN	STRA6	
Groningen2017	ADRN	STXBP1	
Groningen2017	ADRN	SV2C	
Groningen2017	ADRN	SYNPO2	
Groningen2017	ADRN	SYT1	
Groningen2017	ADRN	SYT4	
Groningen2017	ADRN	TACC2	
Groningen2017	ADRN	TAGLN3	
Groningen2017	ADRN	TBC1D30	
Groningen2017	ADRN	TBPL1	
Groningen2017	ADRN	TCEAL7	
Groningen2017	ADRN	TDG	
Groningen2017	ADRN	TENM4	
Groningen2017	ADRN	TFAP2B	
Groningen2017	ADRN	TH	
Groningen2017	ADRN	THSD7A	
Groningen2017	ADRN	TIAM1	
Groningen2017	ADRN	TMEM108	
Groningen2017	ADRN	TMEM178B	
Groningen2017	ADRN	TMEM97	
Groningen2017	ADRN	TMOD1	
Groningen2017	ADRN	TMOD2	
Groningen2017	ADRN	TMTC4	
Groningen2017	ADRN	TOX2	
Groningen2017	ADRN	TRAP1	
Groningen2017	ADRN	TSPAN13	
Groningen2017	ADRN	TSPAN7	
Groningen2017	ADRN	TTC8	
Groningen2017	ADRN	TUB	
Groningen2017	ADRN	TUBB2A	
Groningen2017	ADRN	TUBB2B	
Groningen2017	ADRN	TUBB3	
Groningen2017	ADRN	TUBB4B	
Groningen2017	ADRN	UBE2C	
Groningen2017	ADRN	UBE2T	
Groningen2017	ADRN	UCP2	
Groningen2017	ADRN	UNC79	
Groningen2017	ADRN	VRK1	
Groningen2017	ADRN	ZNF195	
Groningen2017	ADRN	ZNF22	
Groningen2017	ADRN	ZNF24	
Groningen2017	ADRN	ZNF512	
Groningen2017	ADRN	ZNF536	
Groningen2017	ADRN	ZNF704	
Groningen2017	ADRN	ZNF711	
Groningen2017	ADRN	ZNF738	
Groningen2017	ADRN	ZNF91	
Groningen2017	ADRN	ZWILCH	
